micro_ref,micro_descr
MICENTBCAN," Enterobacter cancerogenus
"
MICENTBGER,Enterobacter gergoviae
MICENTBHOR,Enterobacter hormaechei
MICENTBKOB,Enterobacter kobei
MICENTBSAK," Enterobacter sakazakii
"
MICENTBSP,Enterobacter spp
MICENTCAVI,Enterococcus avium
MICENTCDUR,Enterococcus durans/hirae
MICENTCGAL,Enterococcus gallinarum
MICENTCHIR,Enterococcus hirae
MICENTCRA,Enterococcus raffinosus
MICENTERO," Enterococcus
"
MICENTEROB," Enterobacter
"
MICENTEROC,Enterococcus spp
MICENTERVE,Enterobius vermicularis
MICEPIDEFL," Epidermophyton floccosum
"
MICESCHFER,Escherichia fergusonii
MICESCHHER,Escherichia hermanii
MICESCHVUL,Escherichia vulneris
MICESTAFIL,Staphylococcus spp
MICEUBACSA,Eubacterium saborreum
MICEUBACSP,Eubacterium sp
MICEVIR,Estreptococ grup viridans
MICEXOATTE,Exophiala attenuata
MICEXODER,Exophiala dermatitidis
MICEXOJEAN,Exophiala jeanselmei
MICEXOSPP,Exophiala spp
MICEXOXEN," Exophiala xenobiotica
"
MICFACKHOM,Facklamia hominis
MICFAMENTE,Enterobacteriacaeae
MICFF,Elem. Fungic Filamentos
MICFILAM,Filamentosos
MICFINMAG,Finegoldia magna
MICFON,Fong
MICFUOX,Fusarium oxysporum
MICFUSASO," Fusarium solani
"
MICFUSASP,Fusarium sp
MICFUSOGON,Fusobacterium gonidiaformans
MICFUSOMOR,Fusobacterium mortiferum
MICFUSONAV,Fusobacterium naviforme
MICFUSONEP,Fusobacterium necrophorum
MICFUSONUC,Fusobacterium nucleatum
MICFUSOPER,Fusobacterium periodonticum
MICFUSOSP,Fusobacterium sp
MICFUSOV," Fusobacterium varium
"
MICFUSOVIN," Fusobacterium vincenti
"
MICFUVE," Fusarium verticillioides
"
MICGARDNSP,Gardnerella sp
MICGARDNVA,Gardnerella vaginalis
MICGBRON,Gordonia bronchialis
MICGEMEHAM,Gemella haemolysans
MICGEMESP,Gemella sp
MICGEOTCAN,Geotrichum candidum
MICGEOTCP,Geotrichum capitatum
MICGEOTSP,Geotrichum sp
MICGIARLAM,Giardia lamblia
MICGLOBSAN,Globicatella sanguinis
MICGMOR,Gemella morbillorum
MICGRAADI,Granulicatella adiacens
MICGRAELE,Granulicatella elegans
MICHAEMAPR," Haemophilus aphrophilus
"
MICHAEMHAE,Haemophilus haemolyticus
MICHAEMSEG," Haemophilus segnis
"
MICHAEMSP,Haemophilus sp
MICHAFNIAA,Hafnia alvei
MICHELICPU,Helicobacter pullorum
MICHELICPY,Helicobacter pylori
MICHERBAHU,Herbaspirillum huttiense
MICHIF," Hifas
"
MICHINF,Haemophilus influenzae
MICHISTCAP,Histoplasma capsulatum
MICHISTOSP," Histoplasma sp
"
MICHONGOS," Hongos
"
MICHPAR,Haemophilus parainfluenzae
MICHUMISP," Humicola sp
"
MICHUNHAT,Hungatella hathewayi
MICHYMENAN," Hymenolepis nana
"
MICIODABUR,Iodamoeba butschlii
MICISOSBEL," Isospora belli
"
MICJANISP,Janibacter spp
MICKINGEKI,Kingella kingae
MICKINGESP," Kingella sp
"
MICKLEBAER,Klebsiella aerogenes
MICKLEBORN,Klebsiella ornithinolytica
MICKLEBOZ,Klebsiella pneumoniae subsp. Ozaenae
MICKLEBOZA," Klebsiella ozaenae
"
MICKLEBPLN," Klebsiella planticola
"
MICKLEBPNE,Klebsiella pneumoniae complex
MICKLEBSIE," Klebsiella
"
MICKLEBSP,Klebsiella sp
MICKLEBVAR,Klebsiella variicola
MICKLUYASC,Kluyvera ascorbata
MICKLUYCRY,Kluyvera cryocrescens
MICKLUYSP,Kluyvera spp
MICKOCUPAL,Kocuria palustris
MICKOCURHI,Kocuria rhizophila
MICKOCUSP,Kocuria spp
MICKOKUKRI,Kocuria kristinae
MICKOKURO,Kocuria rosea
MICKOKUVA," Kokuria varians
"
MICKOXY,Klebsiella oxytoca
MICKOXYROR,Klebsiella oxytoca/Raoultella ornithynol
MICKPNE,Klebsiella pneumoniae
MICLACCGAR,Lactococcus garvieae
MICLACCLAC,Lactococcus lactis
MICLACCSP,Lactococcus sp
MICLACTBAC," Lactobacillus acidophilus
"
MICLACTBCR,Lactobacillus crispatus
MICLACTBDE,Lactobacillus delbrueckii
MICLACTBFE,Lactobacillus fermentum
MICLACTBGA,Lactobacillus gasseri
MICLACTBIN,Lactobacillus iners
MICLACTBJE,Lactobacillus jensenii
MICLACTBPA,Lactobacillus paracasei
MICLACTBRH,Lactobacillus rhamnosus
MICLACTBRU,Lactobacillus ruminis
MICLACTBSP,Lactobacillus sp
MICLECLERA,Leclercia adecarboxylata
MICLEGIOPN,Legionella pneumophila
MICLEISHIN," Leishmania infantum
"
MICLEISHSP,Leishmania sp
MICLELLIAM,Lelliottia amnigena
MICLEUCNCI,Leuconostoc citreum
MICLEUCNLA,Leuconostoc lactis
MICLEUCNSP,Leuconostoc sp
MICLEV,Llevats
MICLF,Bacil lactosa fermentador
MICLICHCOR,Lichtheimia corymbifera
MICLICHRAM,Lichtheimia ramosa
MICLICO," Lichtheimia corymbifera
"
MICLISTSP,Listeria sp
MICLMON,Listeria monocytogenes
MICLOALO,Loa loa
MICLPTOTRT,Leptotrichia trevisanii
MICLPTOTSP,Leptotrichia sp
MICLYSINBO,Lysinibacillus boronitolerans
MICLYSINFU,Lysinibacillus fusiformis
MICLYSINSP," Lysinibacillus sphaericus
"
MICMALFUR,Malassezia furfur
MICMALSP,Malassezia sp
MICMANP,Mansonella perstans
MICMASSITI,Massilia timonae
MICMETSP,Metagominus sp
MICMFT," Mixte estafils i estreptococs
"
MICMICC,Micrococcus
MICMICCLUT,Micrococcus luteus
MICMICCLYL,Micrococcus lylae
MICMICCSP,Micrococcus sp
